缩写	对应具体知识点（TEXT内容）
绪论相关
绪-复兴-特征	时代新人特征
绪-关系-相同	相同点
绪-关系-不同	不同点
绪-关系-联系	联系
绪-素养	思想道德素质和法治素养
思想篇相关
思-人生-本质	人的本质
思-人生-内容	人生观的主要内容
思-人生-社辩	个人与社会的辩证关系
思-人生-世观	人生观与世界观
思-人生-正确	正确人生观
思-人生-错误	错误人生观
思-理想-理想	理想
思-理想-信念	信念
思-理想-关系	关系
思-理想-作用	作用
思-理想-马信仰	马克思科学信仰、共产主义远大理想、中国特色社会主义共同信仰
思-理想-现辩	理想与现实的辩证关系
思-理想-社理	个人理想与社会理想的关系
思-精神-崇传	崇尚精神是中华民族的优秀传统
思-精神-爱国	以爱国主义为核心的民族精神
思-精神-改革	以改革创新为核心的时代精神
思-精神-精辩	民族精神与时代精神的辩证统一
思-精神-爱国义	爱国主义
思-精神-新爱国	新时代的爱国主义
思-精神-改要	改革创新是时代要求
思-核心-核心	核心价值观
思-核心-社核心	社会主义核心价值观
思-核心-社体系	社会主义核心价值体系
思-核心-指引	当代中国发展进步的精神指引
思-核心-底蕴	历史底蕴
思-核心-基础	现实基础
思-核心-道义	道义力量
思-核心-践行	做社会主义核心价值观的积极践行者
道德篇相关
道-发展-起源	道德的起源
道-发展-本质	道德的本质
道-发展-功能	道德的功能
道-发展-作用	道德的作用
道-时期-传美德	传承中华传统美德
道-时期-革命	发扬中国革命精神
道-时期-借成果	借鉴人类文明优秀道德成果
道-领域-社道德	社会主义道德
道-领域-核心	核心的问题
道-吸收	吸收借鉴优秀道德成果
道-实践-公德	社会公德
道-实践-网道德	网络生活道德要求
道-实践-职道德	职业道德
道-实践-家美德	家庭美德
道-实践-品德	个人品德
法律篇相关
法-法律-法律	法律
法-法律-本质	社会主义法律的本质特征
法-法律-运行	我国社会主义法律的运行
法-国家-宪法体系	以宪法为核心的中国特色社会主义法律体系
法-国家-法治体系	建设中国特色社会主义法治体系
法-国家-法治道路	坚持走中国特色社会主义法治道路
法-公民-法治思维	培养社会主义法治思维
法-公民-权威	尊重和维护法律权威
法-公民-权义	法律权利与义务
