缩写	对应具体知识点（TEXT内容）
中国近代史相关
近-旧-磨难抗争	进入近代后中国的磨难与抗争
近-旧-出路探索	不同社会力量对国家出路的早期探索
近-旧-辛亥终结	辛亥革命与君主专制制度的终结
近-新-建党新局面	中国共产党成立和革命新局面
近-新-国共合作	第一次国共合作形成和大革命兴起
近-新-革命新道路	中国革命新道路
近-新-抗日	中华民族的抗日战争
近-新-建国奋斗	为建立新中国而奋斗
中国现代史相关
现-建国-成立意义	新中国成立及其伟大意义
现-建国-遗留任务	完成民主革命的遗留任务、恢复国民经济
现-建国-主权安全	维护国家主权和安全
现-建国-党建	加强党自身建设
现-建设-改造条件	为社会主义改造创造条件
现-建设-过渡路线	过渡时期总路线的提出
现-建设-社会主义必要	实行社会主义的必要性和条件
现-建设-工业化	社会主义工业化
现-建设-农业合作化	农业合作化运动的发展
现-建设-手工业合作化	手工业合作化运动发展
现-建设-工商改造	资本主义工商业改造
现-建设-制度确立	社会主义基本制度在中国的全面确立及意义
现-开端-全面建设	全面建设社会主义的开端
现-开端-八大路线	中共八大路线的制定
现-开端-十大关系	《论十大关系》
现-开端-人民矛盾	《关于正确处理人民内部矛盾的问题》
现-开端-五七形势	《一九五七年夏季的形势》
现-改革-真理标准	真理标准问题的讨论
现-改革-解放思想	《解放思想、实事求是、团结一致向前看》
现-改革-十一届三中	十一届三中全会
现-改革-南方谈话	南方谈话
中共会议相关
会-一大-党名称	确定党名称
会-一大-纲领	纲领
会-二大-民主纲领	反帝反封建的民主革命纲领
会-二大-群众路线	开始采取“群众路线”的革命方法
会-三大-入党	决定全体共产党员以个人名义加入国民党
会-八七-清算右倾	彻底清算大革命后期陈独秀的右倾机会主义错误
会-八七-土改武装	确定土地革命和武装反抗国民党反动统治的方针
会-八七-临时政治局	选出中央临时政治局（秋白）
会-八七-枪杆政权	“政权是由枪杆子中取得的”
会-瓦窑堡-批左倾	批评左倾冒险主义、关门主义的错误倾向
会-瓦窑堡-统战可能	阐明抗日民族统一战线的可能性
会-瓦窑堡-统战政策	建立广泛的抗日民族统一战线的具体政策
会-洛川-十大纲领	抗日救国十大纲领
会-洛川-全民族抗战	发动全面的全民族抗战
会-洛川-领导权	坚持无产阶级的领导权
会-洛川-敌后方	敌人后方
会-洛川-国统区	国民党统治区
会-六中-马中化	提出马克思主义中国化
会-七大-毛思想	正式命名“毛泽东思想”，确定为党的指导思想
会-七大-三大作风	三大作风
会-七二-胜利方针	迅速夺取全国胜利的方针
会-七二-工作重心	工作重心
会-七二-总任务	总任务
会-七二-两个务必	两个务必
会-八大-主要矛盾	主要矛盾
会-八大-主要任务	主要任务
会-八大-内容	内容
会-十一届-邓核心	以邓小平为核心的领导集体
会-十一届-改革序幕	节开社会主义改革开放的序幕（注：原文“节开”疑为“揭开”）
会-十一届-思想路线	重新确立党的思想路线
土地政策相关
土-太平-耕者有田	耕者有其田
土-辛亥-地价归原	现有地价归原主
土-辛亥-增价归国	增价归国家
土-国民-平均节制	平均地权、节制资本
土-土革-土地革命	土地革命
土-解放-征富农	征收富农多余经济
土-土改-废封建	废除地主阶级封建剥削的土地所有制->农民的土地所有制
土-土改-规模效果	规模最大、效果最好
战争相关
战-大革命-五卅	标志性事件：五卅运动
战-大革命-时间	时间段：1925-1927
战-大革命-统战	统一战线：国民革命统一战线
战-土革-八七	标志性事件：八七会议
战-土革-时间	时间段：1927-1937
战-土革-统战	统一战线：工农民主统一战线
战-抗日-西安事变	标志性事件：西安事变
战-抗日-时间	时间段：1937-1945
战-抗日-统战	统一战线：抗日民族统一战线
战-解放-中原进攻	标志性事件：国民党进攻中原解放区
战-解放-时间	时间段：1945-1949
战-解放-统战	统一战线：人民民主统一战线
宪法相关
宪-近代-清末新政	清末新政
宪-资产-临时参议院	临时参议院
宪-新中国-共同纲领	《共同纲领》
毛泽东文章相关
毛-大革命-国民农民	《国民革命与农民运动》
毛-土革早期-红色井冈	《中国的红色政权为什么能够存在？》《井冈山的斗争》
毛-土革早期-星星之火	《星星之火，可以燎原》
毛-土革早期-反本本	《反对本本主义》
毛-抗日-论持久战	《论持久战》
毛-新中国-十大关系	《论十大关系》
毛-新中国-人民矛盾	《关于正确处理人民内部矛盾的问题》
毛-新中国-五七形势	《一九五七年夏季的形势》
