缩写	对应具体知识点（TEXT内容）
导论相关
导-进程成果-内涵	内涵
导-进程成果-必要	必要性
导-进程成果-可能	可能性
导-三次飞跃-毛思	毛泽东思想
导-三次飞跃-中特理论	中国特色社会主义理论体系
导-三次飞跃-新时代思想	新时代中国特色社会主义思想
毛泽东思想相关
毛思-历史地位-形成发展	毛泽东思想的形成及发展
毛思-历史地位-活的灵魂	毛泽东思想活的灵魂
毛思-历史地位-意义	意义
毛思-历史地位-毛评价	毛泽东评价
毛思-新民主革命-国情	近代中国国情
毛思-新民主革命-实践基础	实践基础
毛思-新民主革命-总路线	总路线
毛思-新民主革命-基本纲领	基本纲领
毛思-新民主革命-革命道路	革命道路
毛思-新民主革命-三大法宝	总经验（三大法宝）
毛思-新民主革命-革命意义	意义
毛思-改造理论-社会转变	从新民主主义到社会主义的转变
毛思-改造理论-改造经验	社会主义改造道路和历史经验
毛思-改造理论-制度确立	社会主义基本制度在中国的确立
毛思-探索理论-理论成果	初步探索的重要理论成果
毛思-探索理论-经验教训	初步探索的意义和经验教训
中国特色社会主义理论体系相关
中特理论-邓论-形成条件	形成条件
中特理论-邓论-形成过程	形成过程
中特理论-邓论-基本问题	回答基本问题
中特理论-邓论-主要内容	主要内容
中特理论-邓论-历史地位	历史地位
中特理论-三个代表-回答	回答
中特理论-科学发展观-回答	回答
新时代中国特色社会主义思想（重点）相关
新时代-历史地位-进入新时代	中国社会主义进入新时代
新时代-历史地位-百年变局	世界正经历百年未有之大变局
新时代-历史地位-复兴关键期	中华民族伟大复兴处于关键时期
新时代-历史地位-核心要义	新时代中国特色社会主义思想的核心要义
新时代-历史地位-理论特质	新时代中国特色社会主义思想的理论特质
新时代-历史地位-评价	评价
新时代-总任务-中国梦	实现中华民族伟大复兴的中国梦
新时代-总任务-强国战略	建成社会主义现代化强国的战略安排
新时代-总任务-新发展阶段	立足新发展阶段（2021
新时代-总任务-新发展理论	贯彻新发展理论
新时代-总任务-新发展格局	构建新发展格局
新时代-总任务-关系	关系
新时代-布局-五位一体（经济）	五位一体布局（经济）
新时代-布局-五位一体（政治）	五位一体布局（政治）
新时代-布局-五位一体（文化）	五位一体总布局（文化）
新时代-布局-五位一体（社会）	五位一体总布局（社会）
新时代-布局-五位一体（生态）	五位一体总布局（生态）
新时代-布局-四个全面	“四个全面”战略布局
新时代-内外条件-国家安全观	坚持总体国家安全观
新时代-内外条件-强军思想	坚持强军思想
新时代-内外条件-一国两制	全面贯彻一国两制方针
新时代-内外条件-大国外交	中国特色大国外交
新时代-内外条件-党的领导	坚持和加强党的领导
新时代-内外条件-历史使命	新时代党的历史使命
