缩写	对应具体知识点（TEXT内容）
马原-导论-内涵构成-内涵	内涵
马原-导论-内涵构成-构成	构成
马原-导论-立场观点方法-立场	马克思主义的基本立场
马原-导论-立场观点方法-观点	马克思主义的基本观点
马原-导论-立场观点方法-方法	马克思主义的基本方法
马原-导论-来源-首个无产政党	世界上第一个无产阶级政党
马原-导论-来源-问世标志	马克思主义公开问世的标志
马原-导论-来源-产生条件	马克思主义产生的条件
马原-导论-特征-科学性（独有）	科学性（独有）
马原-导论-特征-革命性	革命性
马原-导论-特征-实践性（独有）	实践性（独有）
马原-导论-特征-人民性	人民性
马原-导论-特征-发展开放性	发展开放性
马原-导论-当代价值-认识工具	认识工具
马原-导论-当代价值-行动指南	行动指南
马原-导论-当代价值-科学真理	科学真理
马原-哲学-基本问题-思维存在关系	思维和存在的关系问题
马原-哲学-基本问题-物质与意识	物质与意识
马原-哲学-基本问题-物质意识同一性	物质和意识是否具有同一性
马原-哲学-基本问题-辩证法和形而上学	辩证法和形而上学
马原-哲学-唯物论-世界是什么	世界是什么？
马原-哲学-唯物论-物质观（本源）	物质观（本源）
马原-哲学-唯物论-意识观（派生）	意识观（派生）
马原-哲学-唯物论-物质意识辩证关系	物质和意识的辩证关系
马原-哲学-唯物论-世界物质统一性	世界物质统一性原理
马原-哲学-辩证法-两大总特征	两大总特征
马原-哲学-辩证法-五对范畴	五对范畴
马原-哲学-辩证法-三大规律	三大规律
马原-哲学-辩证法-客观与主观辩证法	客观辩证法与主观辩证法
马原-哲学-辩证法-辩证思维方法	辩证思维方法
马原-哲学-认识论-如何认识世界	人类如何认识这个世界？
马原-哲学-认识论-认识来源本质	认识的来源和本质
马原-哲学-认识论-认识过程规律	认识的过程和规律
马原-哲学-认识论-认识结果检验标准	认识的结果和检验标准
马原-哲学-认识论-认识和改造世界	认识世界和改造世界
马原-哲学-唯物史观-研究对象	研究对象：人类历史的发展规律
马原-哲学-唯物史观-唯心史观	唯心史观
马原-哲学-唯物史观-社会基本矛盾	社会基本矛盾
马原-哲学-唯物史观-社会形态更替规律	社会形态更替的一般规律和特殊形式
马原-哲学-唯物史观-历史发展动力	社会历史发展的动力（五大动力）
马原-哲学-唯物史观-历史创造者	历史创造者问题
马原-政经-大纲-简单商品经济	简单商品经济
马原-政经-大纲-发达商品经济	发达商品经济（资本主义）
马原-政经-商品经济和价值规律	商品经济和价值规律
马原-政经-资本主义本质-劳动力商品与货币资本	劳动力成为商品与货币转化为资本
马原-政经-资本主义本质-剩余价值生产	剩余价值的生产
马原-政经-资本主义本质-资本积累	资本的积累
马原-政经-资本主义本质-剩余价值流转分配	剩余价值的流转和分配
马原-政经-资本主义政制与意识形态-职能	职能
马原-政经-资本主义政制与意识形态-局限性	局限性
马原-政经-资本主义政制与意识形态-意识形态	意识形态
马原-政经-垄断资本主义-两个阶段	两个阶段
马原-政经-垄断资本主义-形成方式	形成方式
马原-政经-垄断资本主义-垄断	垄断
马原-政经-垄断资本主义-金融资本	金融资本
马原-政经-垄断资本主义-金融寡头	金融寡头
马原-政经-垄断资本主义-垄断利润	垄断利润
马原-政经-垄断资本主义-国家垄断资本主义	国家垄断资本主义
马原-政经-垄断资本主义-金融化	垄断资本主义的金融化
马原-政经-垄断资本主义-向世界扩展	垄断资本向世界范围扩展
马原-政经-垄断资本主义-国际垄断同盟	国际垄断同盟
马原-政经-垄断资本主义-基本特征和实质	垄断资本主义的基本特征和实质
马原-政经-经济全球化-表现	表现
马原-政经-经济全球化-因素	因素
马原-政经-经济全球化-影响	影响
马原-政经-当代资本主义新变化-主要表现	变化主要表现
马原-政经-当代资本主义新变化-变化原因	变化的原因
马原-政经-当代资本主义新变化-实质	实质
马原-政经-当代资本主义新变化-08年危机冲突	08年国际金融危机以来的资本主义矛盾与冲突
马原-科社-社会主义社会-五百年进程	社会主义五百年的历史进程
马原-科社-社会主义社会-基本原则	科学社会主义基本原则
马原-科社-社会主义社会-发展规律	发展规律
马原-科社-共产主义社会-展望方法	马克思主义经典作家展望未来社会的科学立场和方法（遇见未来的方法论）
马原-科社-共产主义社会-基本特征	基本特征
马原-科社-共产主义社会-必然趋势	实现共产主义是历史发展的必然趋势
马原-关系-对立统一-相互区别	相互区别
马原-关系-对立统一-相互联系	相互联系
马原-关系-不可分割-A是B的A	A是B的A
马原-关系-不可分割-B是A的B	B是A的B
马原-社会意识-心理风俗	心理风俗习惯
马原-社会意识-意识形态	意识形态
马原-上层建筑-政治上层	政治上层
马原-上层建筑-意识形态	意识形态
